Type,FID,beta.sor,beta.sim,beta.sne,LSP,MAT,MAP,TA,PA,TSN,PSN,PCP,CWE,LSD,GMD,NVT,PDC,PSA
subtropical evergreen broad-leaved forest,159,0.2,0.126673532,0.073326468,121,21.64768751,1554.222222,3.425465266,120.7777778,590.843028,65.94359495,0.224663603,0.004984959,0.863285481,11157.014,8,0.040166667,0.575954039
subtropical evergreen broad-leaved forest,160,0.168451801,0.083690987,0.084760814,122,21.6390857,1636.888889,3.194641246,27.11111111,575.6448121,68.23521622,0.241778757,0.004417343,0.862323768,21062.46591,7,0.040888889,0.636232871
subtropical evergreen broad-leaved forest,161,0.164222874,0.105648536,0.058574338,120,21.36776039,1732.833333,3.034427087,75,559.5620464,70.91387977,0.265664923,0.00426423,0.868334122,11685.6768,8,0.041922222,0.719676509
subtropical evergreen broad-leaved forest,162,0.166003976,0.089033659,0.076970317,117,21.65636685,1818.888889,2.989700158,150.5555556,557.855813,71.47886731,0.284967097,0.004062953,0.867604437,0,7,0.0395,0.728100468
subtropical evergreen broad-leaved forest,163,0.157569516,0.06833713,0.089232386,115,21.8831076,1900.444444,3.216440916,230.5555556,556.6918445,71.01826361,0.285912737,0.003924058,0.862444429,0,8,0.037222222,0.682305109
subtropical evergreen broad-leaved forest,164,0.217693837,0.127494457,0.09019938,113,22.15398442,1914.833333,3.320651094,320.1666667,561.500197,69.68129755,0.276549284,0.003895464,0.857014785,0,8,0.0332,0.562725872
subtropical evergreen broad-leaved forest,165,0.290322581,0.170731707,0.119590873,112,22.22216557,1883.555556,3.333276643,340.5555556,562.6589977,68.64758313,0.268130414,0.003949801,0.853966205,0,10,0.028544444,0.381833581
subtropical evergreen broad-leaved forest,166,0.244444444,0.147335423,0.097109021,110,22.38956949,1823.111111,3.389569494,149.1111111,557.0834264,68.87659236,0.264166815,0.004120389,0.854095635,0,8,0.0212,0.258060769
subtropical evergreen broad-leaved forest,168,0.205729167,0.02866242,0.177066746,96,22.17593959,1964.5,3.842606266,229.5,539.8422241,75.17461226,0.293514058,0.00371401,0.861301327,0,7,0.02438,0.558731456
Tropical rain forest,169,0.194444444,0.070512821,0.123931624,86,21.92110189,1901.8,3.921101952,310.2,536.2215173,72.65890884,0.302353265,0.003280986,0.861034828,0,8,0.03846,0.672087427
Tropical rain forest,174,0.089605735,0.015503876,0.074101859,48,23.93183594,2595.142857,4.788978849,138.5714286,378.1433899,107.1089265,0.402163204,0.02978644,0.851886884,0,10,0.01595,0.38025306
Tropical rain forest,175,0.107692308,0.02247191,0.085220398,48,18.67068721,3016.5,4.045687228,269,330.6344268,86.55123504,0.409369044,0.03065975,0.85520002,0,10,0.01276,0.412780732
subtropical evergreen broad-leaved forest,179,0.241286863,0.11700468,0.124282183,117,18.24767528,1413.5,5.081008593,58.83333333,381.7258214,87.82881429,0.21782349,0.00795021,0.836208567,0,12,0.067842857,0.731663535
subtropical evergreen broad-leaved forest,180,0.319480519,0.172631579,0.146848941,130,19.48053303,1416.333333,4.647199631,17.5,387.779518,88.58378242,0.212673293,0.008066448,0.830805782,0,11,0.064822222,0.760281485
subtropical evergreen broad-leaved forest,181,0.320948617,0.22192029,0.099028327,138,19.59702347,1407.75,4.597023487,50,390.3115229,87.50703358,0.224379382,0.00791078,0.833816981,0,11,0.069033333,0.759774571
subtropical evergreen broad-leaved forest,182,0.300076746,0.22972973,0.070347016,141,18.7783941,1353.833333,4.278394063,41.5,388.5138873,87.11127156,0.240813559,0.007635441,0.840442453,0,10,0.070855556,0.741110917
subtropical evergreen broad-leaved forest,183,0.282185629,0.222222222,0.059963407,146,18.98644449,1302,4.15311114,93.16666667,382.9174008,84.98893309,0.254676672,0.007349362,0.850247652,0,11,0.079311111,0.739882849
subtropical evergreen broad-leaved forest,184,0.268613139,0.189320388,0.07929275,147,17.25188025,1237,3.501880229,163.75,394.2366655,85.53130377,0.262962052,0.007443576,0.861772887,0,11,0.0775,0.743187933
