"variable_combination","adjR2","AIC"
"TA_sd+PCV_sd+TSN_mean+PSN_mean+NA+NA+NA+NA+NA","0.752","248.185"
"TA_sd+MAT_mean+MAT_sd+TSN_mean+NA+NA+NA+NA+NA","0.77","236.256"
"TA_sd+MAT_mean+MAT_sd+PSN_mean+NA+NA+NA+NA+NA","0.773","233.75"
"TA_sd+MAT_mean+TSN_mean+PSN_mean+NA+NA+NA+NA+NA","0.776","231.473"
"TA_sd+MAT_sd+TSN_mean+PSN_mean+NA+NA+NA+NA+NA","0.73","262.361"
"PA_sd+TCV_mean+PCV_sd+MAT_mean+NA+NA+NA+NA+NA","0.785","225.061"
"PA_sd+TCV_mean+PCV_sd+MAT_sd+NA+NA+NA+NA+NA","0.721","267.421"
"PA_sd+TCV_mean+PCV_sd+TSN_mean+NA+NA+NA+NA+NA","0.733","260.079"
"PA_sd+TCV_mean+PCV_sd+PSN_mean+NA+NA+NA+NA+NA","0.732","260.969"
"PA_sd+TCV_mean+MAT_mean+MAT_sd+NA+NA+NA+NA+NA","0.767","238.381"
"PA_sd+TCV_mean+MAT_mean+TSN_mean+NA+NA+NA+NA+NA","0.772","234.441"
"PA_sd+TCV_mean+MAT_mean+PSN_mean+NA+NA+NA+NA+NA","0.775","232.763"
"PA_sd+TCV_mean+MAT_sd+TSN_mean+NA+NA+NA+NA+NA","0.711","272.977"
"PA_sd+TCV_mean+MAT_sd+PSN_mean+NA+NA+NA+NA+NA","0.71","274.016"
"PA_sd+TCV_mean+TSN_mean+PSN_mean+NA+NA+NA+NA+NA","0.72","268.219"
"PA_sd+PCV_sd+MAT_mean+MAT_sd+NA+NA+NA+NA+NA","0.786","224.286"
"PA_sd+PCV_sd+MAT_mean+TSN_mean+NA+NA+NA+NA+NA","0.79","221.362"
"PA_sd+PCV_sd+MAT_mean+PSN_mean+NA+NA+NA+NA+NA","0.794","218.128"
"PA_sd+PCV_sd+MAT_sd+TSN_mean+NA+NA+NA+NA+NA","0.734","259.633"
"PA_sd+PCV_sd+MAT_sd+PSN_mean+NA+NA+NA+NA+NA","0.732","261.05"
"PA_sd+PCV_sd+TSN_mean+PSN_mean+NA+NA+NA+NA+NA","0.742","254.685"
"PA_sd+MAT_mean+MAT_sd+TSN_mean+NA+NA+NA+NA+NA","0.772","234.877"
